Designator,Mid X,Mid Y,Rotation,Layer
C1,20.955,15.24,180.0,bottom
C2,13.081,9.906,90.0,bottom
C3,15.748,9.906,0.0,bottom
D1,3.815,10.795,180.0,top
J2,41.89,9.8,0.0,top
R1,3.81,20.32,90.0,top
R6,41.91,21.59,0.0,top
R7,41.91,24.765,0.0,top
R8,12.7,12.065,0.0,bottom
R9,12.7,14.605,0.0,bottom
U1,20.955,13.23584,0.0,top
U2,20.955,10.16,0.0,bottom
U4,41.91,16.256,0.0,top
